,COMUNE,geometry,fromPlaceName,fromPalceCord,toPlaceName,toPlaceCord,date,time,duration,colore
0,Bagni di Lucca,"POLYGON ((629656.8386000004 4886170.717700001, 630321.0334999999 4886219.1171, 630413.8327000001 4886176.7173999995, 630484.8322000001 4886124.7179000005, 631107.8271000003 4885584.721899999, 631394.8247999996 4885241.724300001, 631439.8244000003 4885173.725, 631487.824 4885119.725299999, 631524.8236999996 4885085.725500001, 631582.8232000005 4885050.7258, 631658.8225999996 4885044.7258, 631824.8213 4885048.7257, 631912.8207 4885063.7257, 631973.8202 4885102.725199999, 632044.8196999999 4885149.7248, 632192.8185 4885234.724099999, 632425.8168000001 4885359.723200001, 632564.8157000002 4885381.7228, 633244.8103999998 4885379.7226, 633314.8097999999 4885357.2228, 634346.8015000001 4885008.725099999, 634574.7998000002 4884908.7258, 634650.7992000002 4884845.726299999, 634908.7971000001 4884545.728700001, 634983.7965000002 4884452.7294, 635035.7959000003 4884366.729900001, 635089.7955999998 4884274.730599999, 635132.7951999996 4884189.7314, 635175.7949000001 4884099.732100001, 635294.7938999999 4883936.733200001, 635485.7922999999 4883733.7347, 635522.7920000004 4883722.7348, 635780.79 4883698.7349, 635940.7885999996 4883699.7348, 636028.7880999995 4883704.7347, 636103.7874999996 4883714.7346, 636166.7869999995 4883720.7346, 636242.7863999996 4883721.7345, 636566.7838000003 4883609.735300001, 636641.7832000004 4883563.7356, 636926.7808999997 4883351.737199999, 636997.7802999998 4883278.7377, 637043.7800000003 4883214.7382, 637095.7795000002 4883139.7388, 637284.7779999999 4882935.7403, 637523.7759999996 4882722.741900001, 637796.7736999998 4882574.743100001, 637893.7730999999 4882530.7434, 637965.7723000003 4881982.7475000005, 638159.7702000001 4880403.7598, 638153.7702000001 4880324.760600001, 638134.7702000001 4880243.7611, 638108.7704999996 4880167.761700001, 638067.7708 4880055.762599999, 637805.7725999998 4879386.767899999, 637757.7729000002 4879272.7688, 637706.7732999995 4879189.7695, 637675.7735000001 4879070.7706, 637659.7736 4878969.771400001, 637659.7736 4878885.7719, 637675.7734000003 4878681.773499999, 637715.0229000002 4878184.5274, 637921.7712000003 4877956.779100001, 638212.7687999997 4877711.7809, 638271.7682999996 4877684.781099999, 638682.7651000004 4877616.7815000005, 639144.7609999999 4876360.791200001, 639211.7604 4876182.7927, 639231.7603000002 4876153.7928, 639268.7599999998 4876110.793099999, 638940.7622999996 4875605.7972, 638918.7625000002 4875585.797499999, 638458.7659999998 4875375.7992, 638130.7684000004 4875240.8005, 638098.7687999997 4875234.8004, 638024.7693999996 4875242.8004, 637767.7714 4875285.800100001, 637320.7748999996 4875333.799900001, 637252.7752999999 4875331.800100001, 637211.7758 4875319.800100001, 636864.7784000002 4875043.8025, 636704.7796 4874903.8035, 636305.7825999996 4874529.806600001, 636270.7828000002 4874492.8069, 636060.7841999996 4874133.809800001, 636034.7845000001 4874081.8102, 636017.7845000001 4874032.8105999995, 636004.7846999997 4873985.811000001, 635978.7849000003 4873876.812000001, 635970.7849000003 4873822.8123, 635966.7849000003 4873663.8135, 635965.7849000003 4873618.8138999995, 635968.7849000003 4873572.814200001, 635972.7847999996 4873539.8145, 635970.7847999996 4873482.815099999, 635956.7849000003 4873350.816, 635852.7856000001 4873157.8177000005, 634759.7937000003 4871807.8287, 634550.7950999998 4871563.830499999, 634469.7959000003 4871505.831, 634327.7970000003 4871567.830600001, 634166.2982999999 4871642.8302, 633428.8038999997 4871563.2061, 632540.5609999998 4871459.3321, 631313.8205000004 4871311.833699999, 631182.3214999996 4871235.3343, 630055.8300999999 4870484.340600001, 629566.8337000003 4869859.0956999995, 629427.8346999995 4869477.8489, 629012.5877 4868892.103499999, 628860.8388999999 4868697.8551, 628539.8413000004 4868323.858100001, 628499.5915999999 4868314.358200001, 628341.8427999998 4868305.8585, 628292.8432 4868305.8585, 628249.8435000004 4868304.8584, 628218.5937999999 4868300.1084, 627776.8470999999 4868026.8607, 627698.8476999998 4867965.361400001, 627579.0987 4867932.3617, 627528.8491000002 4867929.8616, 627483.0993999997 4867952.361400001, 627315.1008000001 4868056.6108, 627295.1009 4868079.3605, 627135.8523000004 4868274.858999999, 626793.3552000001 4868913.3541, 626473.6079000002 4869734.3477, 626756.1058 4869916.5962000005, 626945.6045000004 4870480.091700001, 626414.8586999997 4870589.841, 625853.3633000003 4871168.3368, 625484.3662999999 4871619.7082, 625450.2416000003 4871661.582900001, 625398.1169999996 4871726.3324, 625384.8672000002 4871757.8322, 625384.8672000002 4871799.832, 625392.8671000004 4871855.8314, 625412.8669999996 4871960.830600001, 625810.3642999995 4873627.817299999, 625877.1139000002 4873672.8171, 625889.8638000004 4873683.8169, 626063.1124999998 4873851.5655000005, 626099.1123000002 4873918.315099999, 626065.3625999996 4874054.8138999995, 626032.3629000001 4874116.8134, 625983.1133000003 4874172.562999999, 625956.6135 4874160.313100001, 625421.1176000005 4873905.315300001, 625346.8682000004 4873859.3157, 625313.8684 4873821.816, 625290.8685999997 4873780.816299999, 625271.3687000005 4873742.3166000005, 625264.4938000003 4873729.0667, 625195.8693000004 4873618.817600001, 625156.8695 4873566.818, 625085.8701 4873480.818700001, 625035.8704000004 4873424.8192, 624818.8721000003 4873214.820900001, 624687.3731000004 4873128.821599999, 624485.8745999997 4873048.8223, 624451.8749000002 4873068.3222, 624376.3755000001 4873122.821799999, 623565.3822999997 4874430.311799999, 623426.8835000005 4874738.8094, 623384.8838999998 4874882.8083, 623382.3838999998 4874945.3078000005, 623388.9338999996 4874988.2576, 623506.8830000004 4875093.806600001, 623753.8810999999 4875327.8048, 624094.8786000004 4875687.8017, 624309.8770000003 4875947.7996, 624663.8744000001 4876490.7952, 624698.8740999997 4876569.794600001, 625196.1206 4877699.285599999, 625699.1168 4878152.2818, 625726.3666000003 4878185.5316, 625852.8657 4878346.780300001, 625928.1151999999 4878665.5276999995, 626002.1146999998 4878952.5254999995, 626065.3642999995 4879109.5242, 626179.8635 4879387.522, 626571.8607000001 4880284.764799999, 627315.8552000001 4881225.757200001, 627348.3550000004 4881280.256899999, 627352.8551000003 4881618.7541000005, 627490.8543999996 4882762.745100001, 627646.8531999998 4882848.7444, 627737.8525 4882897.744100001, 627768.8523000004 4882897.743899999, 627830.8518000003 4882873.744100001, 627892.1013000002 4882877.744200001, 627906.8512000004 4882878.744000001, 627912.3510999996 4882883.744000001, 627944.8509 4882913.743899999, 628140.8493999997 4883163.741699999, 628352.8479000004 4883537.738700001, 628695.8454999998 4884367.732100001, 628704.8454999998 4884395.731899999, 628730.8454999998 4884999.727299999, 628724.8454999998 4885046.7268, 628706.8457000004 4885082.726500001, 628681.8459000001 4885112.726299999, 628662.8459999999 4885138.7261, 628607.8465 4885251.725199999, 628595.8465999998 4885293.7249, 628586.8466999996 4885331.7246, 628576.8468000004 4885383.724199999, 628575.8468000004 4885439.7238, 628573.8469000002 4885555.722999999, 628582.8468000004 4885627.7223000005, 628599.8466999996 4885672.721899999, 628770.8454999998 4886050.718900001, 628800.8453000002 4886087.718599999, 628862.8448000001 4886132.7182, 629382.8408000004 4886273.7171, 629446.8403000003 4886264.717, 629482.8399999999 4886253.7171, 629529.8397000004 4886232.7172, 629656.8386000004 4886170.717700001))",Lucca,"43.84281,10.50238",Bagni di Lucca,"44.0089207,10.5743811",10-01-2023,8:00pm,4338,#eb3a34
1,Barga,"POLYGON ((621954.3997 4890356.6876, 622123.3986999998 4890342.6877999995, 622323.3970999997 4890315.6884, 622430.3960999995 4890274.688200001, 622527.3951000003 4890234.6887, 623457.3880000003 4889650.6932, 624175.3823999995 4889150.6965, 626195.3661000002 4887732.706700001, 626219.3661000002 4887707.707, 626440.3641999997 4887456.7095, 626485.3640999999 4887315.710200001, 626698.5286999997 4886449.7171, 626218.8653999995 4886446.716700001, 626012.8669999996 4886437.7168000005, 625961.8674999997 4886419.717, 625648.8699000003 4886263.7183, 625614.8701999998 4886245.718599999, 625518.8709000004 4886190.718900001, 625456.8713999996 4886149.7194, 625358.8721000003 4886084.719799999, 624956.8751999997 4885803.722100001, 623568.8857000005 4884805.7304, 623533.8859000001 4884767.730699999, 623490.8860999998 4884709.7312, 623341.8872999996 4884319.734300001, 623330.8874000004 4884287.7345, 623094.8887999998 4883497.740800001, 622940.8898999998 4882815.746200001, 622897.8902000003 4882493.7487, 622633.8919000002 4881577.755999999, 622622.892 4881539.7563000005, 622606.8920999998 4881497.7566, 622390.8935000002 4881063.7601, 622359.8938999996 4881018.760600001, 621820.8979000002 4880538.7644, 621676.8990000002 4880429.7653, 621500.9003999997 4880305.7663, 621355.9013999999 4880160.7675, 621210.9024999999 4879962.769099999, 620307.9090999998 4878496.7809, 620279.9093000004 4878440.7815000005, 620188.9100000001 4878252.783, 620178.9100000001 4878206.7831999995, 620173.9100000001 4878158.783600001, 620148.9101999998 4877909.785700001, 620102.9104000004 4877665.7875, 620095.9105000002 4877637.787699999, 620091.9105000002 4877621.787799999, 620043.9108999996 4877555.7884, 619969.9113999996 4877485.788899999, 619470.9151999997 4877056.7925, 619087.9183 4877268.790899999, 617639.9297000002 4877671.7882, 617600.9299999997 4877690.7881000005, 617560.9303000001 4877710.787900001, 617527.9305999996 4877733.787900001, 616955.9352000002 4878180.784399999, 616868.9358999999 4878260.7838, 616670.9375999998 4878544.7818, 616650.9376999997 4878575.781400001, 616632.9379000003 4878618.781099999, 616619.9380000001 4878666.7807, 616614.9380999999 4878719.780300001, 616533.9387999997 4879024.777899999, 616210.9414999997 4879656.2731, 616181.9417000003 4879709.272700001, 616161.9419 4879744.272399999, 616133.9420999996 4879784.2721, 616107.1924 4879819.2718, 616078.9425999997 4879850.271600001, 615957.1935999999 4879971.7707, 615855.1944000004 4880070.770099999, 615815.1946999999 4880141.769400001, 615798.1948999995 4880187.769200001, 615594.1967000002 4880838.764, 615587.4467000002 4880863.263800001, 615582.1968 4880882.763800001, 615572.1968999999 4880934.7634, 615563.1969999997 4880997.762800001, 615557.1969999997 4881049.762499999, 615529.1973000001 4881168.761399999, 615620.1968 4881923.7555, 616289.1919 4882876.2478, 616541.9400000004 4883032.7465, 616579.9397 4883054.746300001, 616665.9390000002 4883067.746200001, 616661.9390000002 4883020.7466, 616669.9389000004 4882985.7469999995, 616695.9386999998 4882952.747099999, 616733.9384000003 4882932.747199999, 616776.9380999999 4882937.747199999, 617089.9357000003 4883020.7464000005, 617207.9347999999 4883061.746099999, 617716.9309 4883366.7435, 617801.9302000003 4883422.743100001, 618294.9265000001 4883821.739800001, 619194.9199000001 4885070.729699999, 619538.9173999997 4885773.724099999, 619546.9173999997 4885811.7238, 619544.9173999997 4885854.7235, 619538.9175000004 4885893.723200001, 619529.1676000003 4885927.7228999995, 619510.9177000001 4885961.7228, 619485.9178999998 4885988.7226, 619367.9188999999 4886089.7217, 619339.9190999996 4886111.7215, 619314.9193000002 4886132.7214, 619267.9197000004 4886186.721000001, 619249.9198000003 4886247.7205, 619198.9204000002 4886750.716600001, 619194.9204000002 4886806.7161, 619200.9204000002 4886857.7157000005, 619212.9203000003 4886905.715500001, 619232.9201999996 4886968.715, 619452.9186000004 4887321.711999999, 619512.9181000004 4887392.7116, 619724.9166000001 4887611.7097, 619776.9161999999 4887634.7095, 619834.9156999998 4887647.7095, 620327.9119999995 4888068.7059, 620588.9101999998 4888743.7007, 620806.9086999996 4889365.695599999, 620805.9086999996 4889423.6952, 620806.9086999996 4889473.694800001, 620891.9082000004 4889819.692, 620912.9079999998 4889873.6916000005, 620934.9079 4889921.691199999, 621044.9071000004 4890112.6897, 621070.9068999998 4890139.6895, 621536.9033000004 4890332.6877999995, 621733.9018000001 4890403.6872000005, 621781.9013999999 4890420.6872000005, 621837.9009999996 4890431.687100001, 621937.5664999997 4890441.686899999, 621954.3997 4890356.6876))",Lucca,"43.84281,10.50238",Barga,"44.07326495,10.4775162",10-01-2023,8:00pm,99998,#7a7a79
2,Borgo a Mozzano,"POLYGON ((620498.4066000003 4875411.305199999, 620634.9056000002 4875468.8047, 622769.8887999998 4875190.5561999995, 623080.6364000002 4875257.055400001, 623116.8860999998 4875260.680400001, 623157.8858000003 4875257.430400001, 623220.3853000002 4875232.305600001, 623252.7599999998 4875204.4308, 623347.1342000002 4875088.556700001, 623367.1338999998 4875045.307, 623388.9338999996 4874988.2576, 623382.3838999998 4874945.3078000005, 623384.8838999998 4874882.8083, 623426.8835000005 4874738.8094, 623565.3822999997 4874430.311799999, 624376.3755000001 4873122.821799999, 624451.8749000002 4873068.3222, 624485.8745999997 4873048.8223, 624687.3731000004 4873128.821599999, 624818.8721000003 4873214.820900001, 625035.8704000004 4873424.8192, 625085.8701 4873480.818700001, 625156.8695 4873566.818, 625195.8693000004 4873618.817600001, 625264.4938000003 4873729.0667, 625271.3687000005 4873742.3166000005, 625290.8685999997 4873780.816299999, 625313.8684 4873821.816, 625346.8682000004 4873859.3157, 625421.1176000005 4873905.315300001, 625956.6135 4874160.313100001, 625983.1133000003 4874172.562999999, 626032.3629000001 4874116.8134, 626065.3625999996 4874054.8138999995, 626099.1123000002 4873918.315099999, 626063.1124999998 4873851.5655000005, 625889.8638000004 4873683.8169, 625877.1139000002 4873672.8171, 625810.3642999995 4873627.817299999, 625412.8669999996 4871960.830600001, 625392.8671000004 4871855.8314, 625384.8672000002 4871799.832, 625384.8672000002 4871757.8322, 625398.1169999996 4871726.3324, 625450.2416000003 4871661.582900001, 625484.3662999999 4871619.7082, 625853.3633000003 4871168.3368, 626414.8586999997 4870589.841, 626945.6045000004 4870480.091700001, 626756.1058 4869916.5962000005, 626473.6079000002 4869734.3477, 626793.3552000001 4868913.3541, 627135.8523000004 4868274.858999999, 627295.1009 4868079.3605, 627315.1008000001 4868056.6108, 627483.0993999997 4867952.361400001, 627528.8491000002 4867929.8616, 627579.0987 4867932.3617, 627698.8476999998 4867965.361400001, 627794.8469000002 4867698.863299999, 627800.8468000004 4867669.863500001, 627779.8468000004 4867535.864600001, 627754.8470999999 4867401.865800001, 627743.8471999997 4867372.865900001, 627726.8472999996 4867336.8662, 627716.8474000003 4867287.866599999, 627732.8471999997 4867244.866900001, 627747.8470999999 4867213.8673, 627792.8466999996 4867124.867799999, 628038.8447000002 4866777.8705, 627802.8461999996 4866304.874299999, 627768.8465999998 4866242.8748, 627735.8466999996 4866222.8751, 627382.8496000003 4866149.8758000005, 627330.8499999996 4866164.875700001, 627301.8502000002 4866189.875499999, 627259.8505999995 4866241.875, 627221.8509 4866267.8748, 627064.8521999996 4866359.8741, 626491.8567000004 4866548.8728, 626421.6074999999 4866558.8730999995, 626344.8583000004 4866562.873299999, 626299.8585999999 4866569.8730999995, 626031.8607999999 4866681.872300001, 625535.8647999996 4866914.8708, 624743.8711000001 4867246.8683, 623849.8782000002 4867562.8661, 623107.8843 4867427.867699999, 623060.8846000005 4867400.867900001, 622905.8858000003 4867314.868799999, 622868.8860999998 4867296.868799999, 622553.8886000002 4867241.8695, 622458.8892999999 4867244.8695, 622200.8912000004 4867750.8653, 621753.8948999997 4868356.8605, 621721.8952000001 4868391.860300001, 621659.8957000002 4868446.859999999, 621587.3963000001 4868505.3594, 621582.8963000001 4868508.8594, 621379.8978000004 4868344.8609, 621125.8997999998 4868136.862500001, 621102.8998999996 4868104.8627, 620842.9018999999 4867721.865800001, 620813.9020999996 4867675.8662, 620796.9022000004 4867638.8665, 620780.9023000002 4867591.866900001, 620425.9046 4866006.8795, 620421.9046 4865969.879899999, 620427.9045000002 4865933.8802000005, 620439.9044000003 4865895.8803, 620465.9041999998 4865847.8807, 620489.9040000001 4865815.881100001, 620495.9040000001 4865808.380999999, 620515.9038000004 4865783.881200001, 620551.9035 4865755.8814, 620589.9031999996 4865745.8815, 620721.9022000004 4865728.8817, 620764.9018000001 4865725.8816, 620902.9007000001 4865738.8814, 620942.9002 4865329.884500001, 620098.9066000003 4864359.8927, 620070.9068 4864343.8927, 619630.9104000004 4864598.890799999, 619482.9116000002 4864686.8902, 619298.9129999997 4864796.8895, 619268.9133000001 4864825.8893, 619246.9134999998 4864845.889, 619196.9139 4864889.888800001, 619075.9149000002 4864971.8882, 618452.9198000003 4865116.8871, 618172.9220000003 4865040.887800001, 617756.9250999996 4864737.8903, 617646.926 4864648.8912, 617484.9270000001 4864504.892000001, 616787.9324000003 4864771.8901, 616272.9364999998 4865166.887, 616250.9367000004 4865186.887, 616199.9370999997 4865244.886399999, 616174.9373000003 4865285.8861, 615897.6897 4865821.382099999, 615880.9397999998 4865853.8817, 615875.9398999996 4865883.8816, 615877.9398999996 4865915.881200001, 615929.9395000003 4866032.8803, 615951.9392999997 4866053.880100001, 616402.9358999999 4866380.8774, 616625.9342 4866554.8761, 616965.9316999996 4867009.872400001, 616896.9323000005 4867400.869200001, 616863.9326 4867434.869100001, 616691.9341000002 4867997.864700001, 616679.9342 4868059.8641, 616667.9343999997 4868144.863399999, 616956.9321999997 4868532.860300001, 617252.9299999997 4868740.8585, 617267.6798 4868748.3585, 617296.4296000004 4868762.6085, 617382.9288999997 4868770.8584, 618169.9227999998 4868803.857899999, 618218.9223999996 4868803.8577, 618266.9220000003 4868797.857799999, 618313.9216 4868790.857799999, 618348.9214000003 4868780.857899999, 618379.9210999999 4868760.857999999, 618403.9209000003 4868736.858200001, 618448.9204000002 4868687.8586, 618476.9203000003 4868676.8588, 618503.9200999998 4868671.8587, 618509.1700999998 4868671.1087, 618846.9173999997 4868742.857999999, 619271.9142000005 4868957.8562, 619247.9144000001 4869093.8551, 619113.9156999998 4869792.8497, 618827.1679999996 4869901.0989, 618771.9183999998 4869912.8488, 618754.9184999997 4869942.8486, 618753.9186000004 4869992.848200001, 618944.9172 4870298.845899999, 618985.9168999996 4870357.8453, 619037.9165000003 4870426.844699999, 619182.9154000003 4870570.8434999995, 619208.9151999997 4870592.8434999995, 619257.9148000004 4870620.8431, 619291.9145999998 4870634.843, 619351.9140999997 4870633.843, 619418.9135999996 4870640.8429000005, 619465.9132000003 4870658.8429000005, 619497.9129999997 4870681.842700001, 619526.9127000002 4870708.8423, 619555.9124999996 4870741.8421, 619579.9123 4870776.8418000005, 619601.9122000001 4870820.841399999, 619776.9108999996 4871202.838400001, 619775.9110000003 4871430.8366, 619588.9127000002 4872134.8311, 619483.9134999998 4872173.830800001, 618871.9183999998 4872354.829600001, 618835.9187000003 4872358.829600001, 618773.9192000004 4872358.829600001, 618738.9194 4872355.829600001, 618576.9206999997 4872327.8299, 618538.9210000001 4872319.83, 617587.9285000004 4872391.079700001, 617468.9294999996 4872596.8281, 617459.9296000004 4872654.8277, 617576.6787 4873335.0723, 618080.1752000004 4874213.565199999, 617796.8025000002 4874527.312999999, 617746.5279000001 4874569.2127, 617953.6763000004 4874761.061000001, 618909.9189999998 4875102.808, 619276.4162999997 4875681.803300001, 619386.9155000001 4875878.8017, 619566.4142000005 4876375.797800001, 619615.7138999999 4876535.5965, 620498.4066000003 4875411.305199999))",Lucca,"43.84281,10.50238",Borgo a Mozzano,"43.98057185,10.54311025",10-01-2023,8:00pm,2961,#ebc334
3,Camporgiano,"POLYGON ((604564.5360000003 4892105.679, 604743.5345999999 4892093.679099999, 604773.0344000002 4892091.429099999, 604782.5343000004 4892090.679099999, 605135.5314999996 4891906.680400001, 605160.2812999999 4891891.6807, 605185.2811000003 4891875.6807, 605234.5307 4891835.681, 605258.5305000003 4891807.6811999995, 605290.5301999999 4891708.6819, 605306.2801000001 4891672.6822, 605338.2799000004 4891652.682399999, 605376.5296 4891641.682399999, 605411.5292999996 4891631.682499999, 605454.2789000003 4891624.682700001, 605500.7785999998 4891619.682600001, 605520.2784000002 4891617.682600001, 605812.2762000002 4891659.6822, 606566.0202000001 4891373.6842, 607045.2663000003 4890821.1884, 607744.2607000005 4890066.1941, 607778.0104 4890037.1943, 607813.0100999996 4890011.194499999, 607865.0097000003 4889981.194700001, 607902.0093999999 4889963.195, 607935.0091000004 4889955.1949000005, 607977.0088 4889954.1949000005, 608014.0085000005 4889964.194800001, 608065.0081000002 4889987.194599999, 608117.0077 4890017.194399999, 608157.0073999995 4890036.1942, 608203.0071 4890035.1942, 608555.0043000001 4889923.195, 608608.0038999999 4889899.1953, 608660.0034999996 4889856.195499999, 608693.0032000002 4889806.196, 608722.0029999996 4889750.1963, 608830.7520000003 4889519.1982, 608854.0017999997 4889469.1984, 608860.0017999997 4889427.198899999, 608856.7517999997 4889367.449200001, 608832.7518999996 4889195.2006, 608841.7518999996 4889161.200999999, 608862.7516999999 4889107.201300001, 608886.7515000002 4889065.2016, 609392.7472999999 4888328.2072, 609531.7461999999 4888141.2086, 610649.4873000002 4887482.2136, 610569.9879000001 4887492.713400001, 610558.4879999999 4887494.213400001, 610509.4884000001 4887483.213500001, 610487.4885 4887462.2138, 610237.4903999995 4887190.216, 610215.4906000001 4887156.2161, 610186.4907999998 4887092.216600001, 609930.4927000003 4886767.7194, 609525.7456999999 4886374.7226, 609470.2461000001 4886324.222999999, 609467.4961999999 4886321.7228999995, 609351.7470000004 4886218.7237, 609310.7472999999 4886187.723999999, 609032.7494999999 4886032.725299999, 608933.7501999997 4885985.7258, 608837.7510000002 4885941.726, 608090.7566 4885388.230599999, 607540.0108000003 4884935.234300001, 607256.0131999999 4885663.228700001, 607241.0132999998 4885715.228399999, 607228.0135000004 4885836.227299999, 607224.0135000004 4885874.227, 607221.0136000002 4886102.225199999, 607226.0136000002 4886233.224199999, 607229.0136000002 4886284.2238, 607238.0135000004 4886327.2235, 607258.0133999996 4886369.223099999, 607285.0131999999 4886397.2228999995, 607313.0130000003 4886416.2228999995, 607334.0127999997 4886437.2226, 607348.0126999998 4886478.2224, 607348.0126999998 4886509.221999999, 607331.0129000004 4886606.2213, 607313.0131000001 4886678.2206999995, 607264.0135000004 4886867.2192, 607192.0141000003 4887084.217599999, 607166.0142999999 4887156.717, 607038.0153999999 4887486.7146000005, 606918.2664000001 4887690.7129, 606764.2676999997 4887884.7114, 606738.2679000003 4887933.711200001, 606708.2681 4887980.7107, 606674.2684000004 4888016.7104, 606608.2690000003 4888082.709899999, 606575.5192 4888093.959799999, 606567.2692999998 4888096.709799999, 605702.5259999996 4887860.2118999995, 605637.2764999997 4887826.212200001, 605134.5301999999 4887372.2159, 604964.5317000002 4887994.211100001, 605007.5313999997 4888099.210200001, 605021.5312999999 4888139.209899999, 605030.5312999999 4888179.2096, 605033.5312999999 4888223.2094, 605037.5312999999 4888432.707599999, 605000.5316000003 4888518.7071, 604922.5322000002 4888635.7061, 604559.5351999998 4888928.7039, 604148.7884 4888898.7042, 604064.7890999997 4889079.7028, 604011.7895 4889183.702, 603752.7916000001 4889655.6984, 603748.2917 4889654.9484, 603712.7920000004 4889648.6985, 603687.7921000002 4889629.6986, 603477.7937000003 4889401.7005, 603471.7937000003 4889331.700999999, 603472.7937000003 4889297.701300001, 603476.7937000003 4889264.7015, 603474.7937000003 4889206.702, 603455.7938000001 4889166.702299999, 603436.7939999998 4889139.702500001, 603383.7944 4889112.7029, 602938.0477999998 4888973.204, 602897.0481000002 4888962.2041, 602837.0486000003 4888952.204299999, 602232.0532999998 4888874.2049, 601877.3062000005 4889417.2008, 601710.8076 4889675.198799999, 601610.3084000004 4889831.1976, 601848.3066999996 4890326.693700001, 602007.0555999996 4890925.689099999, 602019.3054999998 4890970.6886, 602029.0554 4891002.6885, 602052.3053000001 4891050.687999999, 602071.0551000005 4891078.687899999, 602150.0544999996 4891159.687100001, 602187.3043 4891189.687000001, 603055.7977 4891824.1818, 603386.7951999996 4892059.1797, 603974.7906 4892098.679400001, 604463.5367999999 4892125.6789, 604564.5360000003 4892105.679))",Lucca,"43.84281,10.50238",Camporgiano,"44.15955695,10.3330076",10-01-2023,8:00pm,5585,#eb3a34
4,Careggine,"POLYGON ((606764.2676999997 4887884.7114, 606918.2664000001 4887690.7129, 607038.0153999999 4887486.7146000005, 607166.0142999999 4887156.717, 607192.0141000003 4887084.217599999, 607264.0135000004 4886867.2192, 607313.0131000001 4886678.2206999995, 607331.0129000004 4886606.2213, 607348.0126999998 4886509.221999999, 607348.0126999998 4886478.2224, 607334.0127999997 4886437.2226, 607313.0130000003 4886416.2228999995, 607285.0131999999 4886397.2228999995, 607258.0133999996 4886369.223099999, 607238.0135000004 4886327.2235, 607229.0136000002 4886284.2238, 607226.0136000002 4886233.224199999, 607221.0136000002 4886102.225199999, 607224.0135000004 4885874.227, 607228.0135000004 4885836.227299999, 607241.0132999998 4885715.228399999, 607256.0131999999 4885663.228700001, 607540.0108000003 4884935.234300001, 607605.0103000002 4884810.235400001, 607619.0100999996 4884780.2355, 607636.0099999998 4884738.2358, 607655.7598000001 4884671.236300001, 607662.0098000001 4884632.2366, 607666.0097000003 4884589.2371, 607669.0097000003 4884549.237299999, 607614.7596000005 4882893.750399999, 607517.7603000002 4882632.7523, 607353.7615 4882328.754899999, 607335.7615999999 4882298.755000001, 607308.7618000004 4882264.7553, 607254.7621999998 4882198.755799999, 607215.7625000002 4882174.755999999, 607084.0136000002 4882133.5065, 607166.7627999997 4881904.758099999, 607319.7615 4881522.7611, 607355.7611999996 4881478.761399999, 607634.7589999996 4881269.763, 607666.7587000001 4881100.7643, 607665.7587000001 4881065.764599999, 607655.7588 4881014.765000001, 607001.0137999998 4880588.2685, 606684.0162000004 4880482.269400001, 606654.0164000001 4880468.2695, 606619.0166999996 4880435.2698, 606553.0171999997 4880345.270500001, 606530.0174000002 4880308.2708, 606448.0180000002 4880175.2719, 606363.0186999999 4880382.270300001, 606336.0188999996 4880411.270099999, 606276.0193999996 4880448.7698, 606059.0210999995 4880333.7709, 606025.0213000001 4880303.771, 606010.0214 4880276.771199999, 604904.0297999997 4879479.777799999, 604849.0302999998 4879451.778000001, 604803.0306000002 4879430.7782000005, 604737.0311000003 4879410.7784, 604680.0316000003 4879405.7784, 604621.0319999997 4879400.7785, 604226.0351 4879454.7782000005, 604151.0356999999 4879467.778100001, 603676.0395 4879559.7775, 603405.0416000001 4879621.7771000005, 603368.0418999996 4879635.777000001, 603089.0442000004 4879949.774599999, 603005.0449000001 4880133.7732, 602988.0449999999 4880175.773, 602929.0455999998 4880462.7706, 602923.0455999998 4880510.770199999, 602931.0455999998 4880576.7697, 603047.0448000003 4881192.765000001, 603081.0445999997 4881240.7645, 603118.0443000002 4881240.764599999, 603178.0438000001 4881223.764599999, 603209.0436000004 4881214.764799999, 603247.0433 4881197.764799999, 603288.0428999998 4881171.7651, 603918.0380999995 4881544.762, 604883.2808999997 4882564.2535999995, 604898.0307999998 4882591.0034, 604901.2807 4882597.2533, 604939.2806000002 4883038.2499, 604962.2805000003 4883313.2477, 604938.5307999998 4883770.244100001, 604934.5307999998 4883809.743799999, 604928.5308999997 4883848.7435, 604919.2810000004 4883900.743100001, 604909.2810000004 4883935.743000001, 604683.5329999998 4884636.737400001, 604309.5363999996 4886209.725199999, 604301.5363999996 4886243.725099999, 604291.5365000004 4886309.724400001, 604289.5365000004 4886339.724199999, 604295.5365000004 4886440.2234000005, 604488.5351999998 4886949.2194, 604504.5351999998 4886988.2191, 604539.5347999996 4887035.218699999, 604590.5344000002 4887098.2182, 604624.5341999996 4887131.2179000005, 604671.5338000003 4887166.217599999, 604699.5335999997 4887185.217499999, 605044.5308999997 4887350.2161, 605080.5307 4887361.216, 605134.5301999999 4887372.2159, 605637.2764999997 4887826.212200001, 605702.5259999996 4887860.2118999995, 606567.2692999998 4888096.709799999, 606575.5192 4888093.959799999, 606608.2690000003 4888082.709899999, 606674.2684000004 4888016.7104, 606708.2681 4887980.7107, 606738.2679000003 4887933.711200001, 606764.2676999997 4887884.7114))",Lucca,"43.84281,10.50238",Careggine,"44.11944175,10.3256665",10-01-2023,8:00pm,99998,#7a7a79
